station_name,borough,full_name
Aldgate,City of London,Aldgate tube station
Bank and Monuments,City of London,Bank and Monument stations
Barbican,City of London,Barbican tube station
Blackfriars,City of London,Blackfriars station
Cannon Street,City of London,Cannon Street station
Chancery Lane,City of London,Chancery Lane tube station
King William Street,City of London,King William Street tube station
Liverpool Street,City of London,Liverpool Street station
Lothbury,City of London,Lothbury tube station
Ludgate Circus,City of London,Ludgate Circus tube station
Mansion House,City of London,Mansion House tube station
Mark Lane,City of London,Mark Lane tube station
Moorgate,City of London,Moorgate station
St Paul's,City of London,St Paul's tube station
Baker Street,City of Westminster,Baker Street tube station
Bayswater,City of Westminster,Bayswater tube station
Bond Street,City of Westminster,Bond Street station
Charing Cross,City of Westminster,Charing Cross tube station
Covent Garden,City of Westminster,Covent Garden tube station
Edgware Road (Bakerloo line),City of Westminster,Edgware Road tube station (Bakerloo line)
"Edgware Road (Circle, District and Hammersmith & City lines)",City of Westminster,"Edgware Road tube station (Circle, District and Hammersmith & City lines)"
Embankment,City of Westminster,Embankment tube station
Great Portland Street,City of Westminster,Great Portland Street tube station
Green Park,City of Westminster,Green Park tube station
Hyde Park Corner,City of Westminster,Hyde Park Corner tube station
Lancaster Gate,City of Westminster,Lancaster Gate tube station
Leicester Square,City of Westminster,Leicester Square tube station
London Victoria,City of Westminster,London Victoria station
Maida Vale,City of Westminster,Maida Vale tube station
Marble Arch,City of Westminster,Marble Arch tube station
Marylebone,City of Westminster,Marylebone station
Oxford Circus,City of Westminster,Oxford Circus tube station
"Paddington (Bakerloo, Circle and District lines)",City of Westminster,"Paddington tube station (Bakerloo, Circle and District lines)"
Paddington (Circle and Hammersmith & City lines),City of Westminster,Paddington tube station (Circle and Hammersmith & City lines)
Piccadilly Circus,City of Westminster,Piccadilly Circus tube station
Pimlico,City of Westminster,Pimlico tube station
Queensway,City of Westminster,Queensway tube station
Regent's Park,City of Westminster,Regent's Park tube station
Royal Oak,City of Westminster,Royal Oak tube station
St James's Park,City of Westminster,St James's Park tube station
St John's Wood,City of Westminster,St John's Wood tube station
Temple,City of Westminster,Temple tube station
Tottenham Court Road,City of Westminster,Tottenham Court Road station
Victoria,City of Westminster,Victoria tube station
Warwick Avenue,City of Westminster,Warwick Avenue tube station
Westbourne Park,City of Westminster,Westbourne Park tube station
Westminster,City of Westminster,Westminster tube station
Barking,London Borough of Barking and Dagenham,Barking station
Becontree,London Borough of Barking and Dagenham,Becontree tube station
Dagenham East,London Borough of Barking and Dagenham,Dagenham East tube station
Dagenham Heathway,London Borough of Barking and Dagenham,Dagenham Heathway tube station
Upney,London Borough of Barking and Dagenham,Upney tube station
Brent Cross,London Borough of Barnet,Brent Cross tube station
Burnt Oak,London Borough of Barnet,Burnt Oak tube station
Colindale,London Borough of Barnet,Colindale tube station
East Finchley,London Borough of Barnet,East Finchley tube station
Edgware,London Borough of Barnet,Edgware tube station
Finchley Central,London Borough of Barnet,Finchley Central tube station
Golders Green,London Borough of Barnet,Golders Green tube station
Hendon Central,London Borough of Barnet,Hendon Central tube station
High Barnet,London Borough of Barnet,High Barnet tube station
Mill Hill East,London Borough of Barnet,Mill Hill East tube station
Totteridge & Whetstone,London Borough of Barnet,Totteridge & Whetstone tube station
West Finchley,London Borough of Barnet,West Finchley tube station
Woodside Park,London Borough of Barnet,Woodside Park tube station
Alperton,London Borough of Brent,Alperton tube station
Dollis Hill,London Borough of Brent,Dollis Hill tube station
Harlesden,London Borough of Brent,Harlesden station
Kensal Green,London Borough of Brent,Kensal Green station
Kenton,London Borough of Brent,Kenton station
Kilburn,London Borough of Brent,Kilburn tube station
Kilburn Park,London Borough of Brent,Kilburn Park tube station
Kingsbury,London Borough of Brent,Kingsbury tube station
Neasden,London Borough of Brent,Neasden tube station
North Wembley,London Borough of Brent,North Wembley station
Northwick Park,London Borough of Brent,Northwick Park tube station
Preston Road,London Borough of Brent,Preston Road tube station
Queen's Park (England),London Borough of Brent,Queen's Park station (England)
Queensbury,London Borough of Brent,Queensbury tube station
South Kenton,London Borough of Brent,South Kenton station
Stonebridge Park,London Borough of Brent,Stonebridge Park station
Sudbury Town,London Borough of Brent,Sudbury Town tube station
Wembley Central,London Borough of Brent,Wembley Central station
Wembley Park,London Borough of Brent,Wembley Park tube station
Willesden Green,London Borough of Brent,Willesden Green tube station
Willesden Junction,London Borough of Brent,Willesden Junction station
Belsize Park,London Borough of Camden,Belsize Park tube station
Camden Town,London Borough of Camden,Camden Town tube station
Chalk Farm,London Borough of Camden,Chalk Farm tube station
Chancery Lane,London Borough of Camden,Chancery Lane tube station
Euston,London Borough of Camden,Euston tube station
Euston Square,London Borough of Camden,Euston Square tube station
Finchley Road,London Borough of Camden,Finchley Road tube station
Goodge Street,London Borough of Camden,Goodge Street tube station
Hampstead,London Borough of Camden,Hampstead tube station
Holborn,London Borough of Camden,Holborn tube station
Kentish Town,London Borough of Camden,Kentish Town station
King's Cross St Pancras,London Borough of Camden,King's Cross St Pancras tube station
Mornington Crescent,London Borough of Camden,Mornington Crescent tube station
Russell Square,London Borough of Camden,Russell Square tube station
Swiss Cottage,London Borough of Camden,Swiss Cottage tube station
Warren Street,London Borough of Camden,Warren Street tube station
West Hampstead,London Borough of Camden,West Hampstead tube station
Acton Town,London Borough of Ealing,Acton Town tube station
Chiswick Park,London Borough of Ealing,Chiswick Park tube station
Ealing Broadway,London Borough of Ealing,Ealing Broadway station
Ealing Common,London Borough of Ealing,Ealing Common tube station
Greenford,London Borough of Ealing,Greenford station
Hanger Lane,London Borough of Ealing,Hanger Lane tube station
North Acton,London Borough of Ealing,North Acton tube station
North Ealing,London Borough of Ealing,North Ealing tube station
Northfields,London Borough of Ealing,Northfields tube station
Northolt,London Borough of Ealing,Northolt tube station
Park Royal,London Borough of Ealing,Park Royal tube station
Perivale,London Borough of Ealing,Perivale tube station
South Ealing,London Borough of Ealing,South Ealing tube station
West Acton,London Borough of Ealing,West Acton tube station
Arnos Grove,London Borough of Enfield,Arnos Grove tube station
Cockfosters,London Borough of Enfield,Cockfosters tube station
Oakwood,London Borough of Enfield,Oakwood tube station
Southgate,London Borough of Enfield,Southgate tube station
Manor House,London Borough of Hackney,Manor House tube station
Barons Court,London Borough of Hammersmith and Fulham,Barons Court tube station
East Acton,London Borough of Hammersmith and Fulham,East Acton tube station
Fulham Broadway,London Borough of Hammersmith and Fulham,Fulham Broadway tube station
Goldhawk Road,London Borough of Hammersmith and Fulham,Goldhawk Road tube station
Hammersmith (Circle and Hammersmith & City lines),London Borough of Hammersmith and Fulham,Hammersmith tube station (Circle and Hammersmith & City lines)
Hammersmith (District and Piccadilly lines),London Borough of Hammersmith and Fulham,Hammersmith tube station (District and Piccadilly lines)
Paddenswick Road,London Borough of Hammersmith and Fulham,Paddenswick Road tube station
Parsons Green,London Borough of Hammersmith and Fulham,Parsons Green tube station
Putney Bridge,London Borough of Hammersmith and Fulham,Putney Bridge tube station
Ravenscourt Park,London Borough of Hammersmith and Fulham,Ravenscourt Park tube station
Rylett Road,London Borough of Hammersmith and Fulham,Rylett Road tube station
Shepherd's Bush,London Borough of Hammersmith and Fulham,Shepherd's Bush tube station
Shepherd's Bush Market,London Borough of Hammersmith and Fulham,Shepherd's Bush Market tube station
The Grove,London Borough of Hammersmith and Fulham,The Grove tube station
West Kensington,London Borough of Hammersmith and Fulham,West Kensington tube station
White City,London Borough of Hammersmith and Fulham,White City tube station
Wood Lane,London Borough of Hammersmith and Fulham,Wood Lane tube station
Bounds Green,London Borough of Haringey,Bounds Green tube station
Highgate,London Borough of Haringey,Highgate tube station
Manor House,London Borough of Haringey,Manor House tube station
Seven Sisters,London Borough of Haringey,Seven Sisters station
Tottenham Hale,London Borough of Haringey,Tottenham Hale station
Turnpike Lane,London Borough of Haringey,Turnpike Lane tube station
Wood Green,London Borough of Haringey,Wood Green tube station
Canons Park,London Borough of Harrow,Canons Park tube station
Harrow & Wealdstone,London Borough of Harrow,Harrow & Wealdstone station
Harrow-on-the-Hill,London Borough of Harrow,Harrow-on-the-Hill station
North Harrow,London Borough of Harrow,North Harrow tube station
Pinner,London Borough of Harrow,Pinner tube station
Rayners Lane,London Borough of Harrow,Rayners Lane tube station
South Harrow,London Borough of Harrow,South Harrow tube station
Stanmore,London Borough of Harrow,Stanmore tube station
Sudbury Hill,London Borough of Harrow,Sudbury Hill tube station
West Harrow,London Borough of Harrow,West Harrow tube station
Elm Park,London Borough of Havering,Elm Park tube station
Hornchurch,London Borough of Havering,Hornchurch tube station
Upminster,London Borough of Havering,Upminster station
Upminster Bridge,London Borough of Havering,Upminster Bridge tube station
Eastcote,London Borough of Hillingdon,Eastcote tube station
Hatton Cross,London Borough of Hillingdon,Hatton Cross tube station
Heathrow Terminal 4,London Borough of Hillingdon,Heathrow Terminal 4 tube station
Heathrow Terminal 5,London Borough of Hillingdon,Heathrow Terminal 5 station
Heathrow Terminals 2 & 3,London Borough of Hillingdon,Heathrow Terminals 2 & 3 tube station
Hillingdon,London Borough of Hillingdon,Hillingdon tube station
Ickenham,London Borough of Hillingdon,Ickenham tube station
Northwood,London Borough of Hillingdon,Northwood tube station
Northwood Hills,London Borough of Hillingdon,Northwood Hills tube station
Ruislip,London Borough of Hillingdon,Ruislip tube station
Ruislip Gardens,London Borough of Hillingdon,Ruislip Gardens tube station
Ruislip Manor,London Borough of Hillingdon,Ruislip Manor tube station
South Ruislip,London Borough of Hillingdon,South Ruislip station
Uxbridge,London Borough of Hillingdon,Uxbridge tube station
West Ruislip,London Borough of Hillingdon,West Ruislip station
Boston Manor,London Borough of Hounslow,Boston Manor tube station
Emlyn Road,London Borough of Hounslow,Emlyn Road tube station
Gunnersbury,London Borough of Hounslow,Gunnersbury station
Heathfield Terrace,London Borough of Hounslow,Heathfield Terrace tube station
Hounslow Central,London Borough of Hounslow,Hounslow Central tube station
Hounslow East,London Borough of Hounslow,Hounslow East tube station
Hounslow Town,London Borough of Hounslow,Hounslow Town tube station
Hounslow West,London Borough of Hounslow,Hounslow West tube station
Osterley,London Borough of Hounslow,Osterley tube station
Stamford Brook,London Borough of Hounslow,Stamford Brook tube station
Turnham Green,London Borough of Hounslow,Turnham Green tube station
Angel,London Borough of Islington,Angel tube station
Archway,London Borough of Islington,Archway tube station
Arsenal,London Borough of Islington,Arsenal tube station
Caledonian Road,London Borough of Islington,Caledonian Road tube station
City Road,London Borough of Islington,City Road tube station
Farringdon,London Borough of Islington,Farringdon station
Finsbury Park,London Borough of Islington,Finsbury Park station
Highbury & Islington,London Borough of Islington,Highbury & Islington station
Holloway Road,London Borough of Islington,Holloway Road tube station
Old Street,London Borough of Islington,Old Street station
Tufnell Park,London Borough of Islington,Tufnell Park tube station
Brixton,London Borough of Lambeth,Brixton tube station
Clapham Common,London Borough of Lambeth,Clapham Common tube station
Clapham North,London Borough of Lambeth,Clapham North tube station
Lambeth North,London Borough of Lambeth,Lambeth North tube station
Nine Elms,London Borough of Lambeth,Nine Elms tube station
Oval,London Borough of Lambeth,Oval tube station
Stockwell,London Borough of Lambeth,Stockwell tube station
Vauxhall,London Borough of Lambeth,Vauxhall station
Waterloo,London Borough of Lambeth,Waterloo tube station
Colliers Wood,London Borough of Merton,Colliers Wood tube station
Morden,London Borough of Merton,Morden tube station
South Wimbledon,London Borough of Merton,South Wimbledon tube station
Wimbledon,London Borough of Merton,Wimbledon station
Wimbledon Park,London Borough of Merton,Wimbledon Park tube station
Beckton,London Borough of Newham,Beckton tube station
Canning Town,London Borough of Newham,Canning Town station
East Ham,London Borough of Newham,East Ham tube station
Plaistow,London Borough of Newham,Plaistow tube station
Stratford,London Borough of Newham,Stratford station
Upton Park,London Borough of Newham,Upton Park tube station
West Ham,London Borough of Newham,West Ham station
Barkingside,London Borough of Redbridge,Barkingside tube station
Fairlop,London Borough of Redbridge,Fairlop tube station
Gants Hill,London Borough of Redbridge,Gants Hill tube station
Hainault,London Borough of Redbridge,Hainault tube station
Newbury Park,London Borough of Redbridge,Newbury Park tube station
Redbridge,London Borough of Redbridge,Redbridge tube station
Snaresbrook,London Borough of Redbridge,Snaresbrook tube station
South Woodford,London Borough of Redbridge,South Woodford tube station
Wanstead,London Borough of Redbridge,Wanstead tube station
Woodford,London Borough of Redbridge,Woodford tube station
Kew Gardens (London),London Borough of Richmond upon Thames,Kew Gardens station (London)
Richmond (London),London Borough of Richmond upon Thames,Richmond station (London)
Bermondsey,London Borough of Southwark,Bermondsey tube station
Borough,London Borough of Southwark,Borough tube station
Canada Water,London Borough of Southwark,Canada Water station
Elephant & Castle,London Borough of Southwark,Elephant & Castle tube station
Kennington,London Borough of Southwark,Kennington tube station
London Bridge,London Borough of Southwark,London Bridge station
Southwark,London Borough of Southwark,Southwark tube station
Surrey Docks North,London Borough of Southwark,Surrey Docks North tube station
Aldgate East,London Borough of Tower Hamlets,Aldgate East tube station
Bethnal Green,London Borough of Tower Hamlets,Bethnal Green tube station
Bow Road,London Borough of Tower Hamlets,Bow Road tube station
Bromley-by-Bow,London Borough of Tower Hamlets,Bromley-by-Bow tube station
Canary Wharf,London Borough of Tower Hamlets,Canary Wharf tube station
Mile End,London Borough of Tower Hamlets,Mile End tube station
Millwall,London Borough of Tower Hamlets,Millwall tube station
St Katharine Docks,London Borough of Tower Hamlets,St Katharine Docks tube station
Stepney Green,London Borough of Tower Hamlets,Stepney Green tube station
Tower Hill,London Borough of Tower Hamlets,Tower Hill tube station
Whitechapel,London Borough of Tower Hamlets,Whitechapel station
Blackhorse Road,London Borough of Waltham Forest,Blackhorse Road station
Leyton,London Borough of Waltham Forest,Leyton tube station
Leytonstone,London Borough of Waltham Forest,Leytonstone tube station
Walthamstow Central,London Borough of Waltham Forest,Walthamstow Central station
Balham,London Borough of Wandsworth,Balham station
Battersea Power,London Borough of Wandsworth,Battersea Power Station tube station
Clapham South,London Borough of Wandsworth,Clapham South tube station
East Putney,London Borough of Wandsworth,East Putney tube station
Southfields,London Borough of Wandsworth,Southfields tube station
Tooting Bec,London Borough of Wandsworth,Tooting Bec tube station
Tooting Broadway,London Borough of Wandsworth,Tooting Broadway tube station
North Greenwich,Royal Borough of Greenwich,North Greenwich tube station
Earl's Court,Royal Borough of Kensington and Chelsea,Earl's Court tube station
Gloucester Road,Royal Borough of Kensington and Chelsea,Gloucester Road tube station
High Street Kensington,Royal Borough of Kensington and Chelsea,High Street Kensington tube station
Holland Park,Royal Borough of Kensington and Chelsea,Holland Park tube station
Kensington (Olympia),Royal Borough of Kensington and Chelsea,Kensington (Olympia) station
Knightsbridge,Royal Borough of Kensington and Chelsea,Knightsbridge tube station
Ladbroke Grove,Royal Borough of Kensington and Chelsea,Ladbroke Grove tube station
Latimer Road,Royal Borough of Kensington and Chelsea,Latimer Road tube station
Notting Hill Gate,Royal Borough of Kensington and Chelsea,Notting Hill Gate tube station
Sloane Square,Royal Borough of Kensington and Chelsea,Sloane Square tube station
South Kensington,Royal Borough of Kensington and Chelsea,South Kensington tube station
West Brompton,Royal Borough of Kensington and Chelsea,West Brompton station
Westbourne Park,Royal Borough of Kensington and Chelsea,Westbourne Park tube station
